Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_12903;22;23;51;20;9;4
PITA_03146;786;852;1927;911;918;1182
PITA_10048;15;15;18;12;21;24
PITA_04859;56;54;85;47;71;53
PITA_07671;46;36;68;30;40;61
PITA_18297;4;5;46;16;16;26
PITA_41969;1;0;0;0;0;0
PITA_19523;0;33;0;72;0;2
PITA_29669;132;60;258;97;61;22
PITA_18661;19;7;30;0;5;0
PITA_12610;0;0;0;0;0;0
PITA_30653;0;0;0;0;0;0
PITA_27908;35;38;106;43;59;19
PITA_47130;1129;643;1476;6607;2275;1493
PITA_08787;17;0;85;26;27;8
PITA_49686;0;0;0;0;0;0
PITA_26195;7;41;22;33;17;16
PITA_38243;2;10;11;1;4;2
PITA_24770;56;63;133;98;59;103
PITA_19643;0;0;0;0;0;4
PITA_03529;54;82;81;33;89;96
PITA_40370;10;6;24;11;34;7
PITA_18913;766;445;1767;1070;824;1314
PITA_33192;200;266;419;229;268;367
PITA_24246;49;38;150;61;39;106
PITA_24274;0;0;1;0;0;1
PITA_44139;233;202;422;211;201;191
PITA_07792;21;7;25;44;29;0
PITA_28328;30;24;47;33;7;15
PITA_21851;0;0;0;0;0;0
PITA_47165;73;74;81;69;53;16
PITA_48212;2;20;5;16;8;15
PITA_15082;65;210;250;181;253;143
PITA_38759;0;0;0;2;0;0
PITA_00008;14;28;19;13;9;15
PITA_13753;25;11;18;23;22;818
PITA_12485;58;98;193;98;89;77
PITA_15211;86;232;127;89;325;373
PITA_14878;84;129;141;83;173;252
PITA_41927;0;0;0;2;0;0
PITA_44654;21;39;83;40;17;79
PITA_30477;22;16;63;17;10;2
PITA_36575;23;1;17;12;1;0
PITA_21580;16;43;39;40;41;50
PITA_50687;0;0;0;0;0;0
PITA_21793;0;0;0;0;0;0
PITA_36304;0;0;0;0;0;0
PITA_22807;1;0;1;0;0;0
PITA_41765;0;0;0;0;0;0
PITA_19915;0;0;0;0;0;0
PITA_16721;10;2;4;14;11;14
PITA_50743;16;12;42;21;42;53
PITA_03228;190;223;421;298;207;254
PITA_41491;0;0;0;0;0;0
PITA_48238;239;388;724;274;194;546
PITA_06934;6;0;0;8;0;2
PITA_34073;48;58;166;66;56;85
PITA_35396;0;0;0;0;0;0
PITA_05873;43;54;120;52;77;47
PITA_48720;0;7;11;0;8;0
PITA_38353;3;4;4;1;1;3
PITA_48218;7;10;27;18;16;19
PITA_08158;41;61;104;63;38;66
PITA_26243;0;0;0;0;0;0
PITA_19346;55;132;183;56;24;126
PITA_14203;0;0;10;2;2;3
PITA_14858;0;0;0;0;0;0
PITA_01860;72;147;136;113;116;149
PITA_22971;0;0;0;0;0;1
PITA_22564;64;51;181;111;33;39
PITA_32261;73;102;132;94;173;136
PITA_11943;0;0;0;0;0;0
PITA_22168;368;592;1404;147;208;144
PITA_36958;0;0;0;0;0;0
PITA_18053;0;0;0;0;0;0
PITA_50786;1;0;0;0;1;0
PITA_49185;0;0;0;0;0;0
PITA_30766;502;519;1133;675;589;785
PITA_38959;3;4;10;2;2;2
PITA_38321;17;5;30;34;31;29
PITA_12886;0;2;6;0;0;0
PITA_10355;70;61;139;69;69;77
PITA_33267;0;0;0;0;0;0
PITA_10747;10;7;6;5;3;4
PITA_41463;0;0;0;0;0;0
PITA_26211;206;119;118;89;241;78
PITA_12947;0;0;0;0;0;0
PITA_48713;134;16;148;203;218;13
PITA_47907;0;0;0;0;0;0
PITA_09395;226;115;535;310;231;180
PITA_44655;125;202;371;149;225;200
PITA_51251;130;146;265;189;196;192
PITA_46210;900;971;2063;788;978;871
PITA_42659;22;18;75;28;17;38
PITA_02326;21;41;60;17;26;6
PITA_43827;76;97;99;47;60;108
PITA_02391;377;218;536;461;418;292
PITA_13448;86;134;179;113;119;118
PITA_44862;746;973;1606;1022;1099;3856
PITA_04227;0;0;0;0;1;0
PITA_39206;0;0;0;0;0;0
PITA_35906;498;686;1001;540;427;714
PITA_15460;0;0;0;0;0;0
PITA_13044;15;1;7;20;14;4
PITA_43485;46;38;596;47;61;38
PITA_34676;0;0;0;0;0;0
PITA_33610;0;0;0;0;0;0
PITA_40823;468;862;1270;981;959;1234
PITA_49863;0;0;0;0;0;0
PITA_50142;0;1;0;0;0;1
PITA_37267;332;245;308;275;275;662
PITA_39080;165;195;333;258;163;399
PITA_31599;69;42;133;74;80;64
PITA_13810;0;0;0;0;0;0
PITA_05624;0;1;0;6;3;5
PITA_21003;7;1;2;6;0;0
PITA_28792;108;45;190;87;86;123
PITA_09408;0;0;0;0;0;139
PITA_29922;32;47;61;9;31;27
PITA_19673;98;57;150;145;81;151
PITA_34382;98;188;236;145;228;158
PITA_22565;11;2;23;12;10;18
PITA_18254;0;0;0;0;0;0
PITA_30428;19;2;15;28;97;0
